embedding_type,n_samples,bootstrap_iters,tau,tau_ci_lower,tau_ci_upper,spectral_gap,spectral_gap_ci_lower,spectral_gap_ci_upper,neighborhood_purity,neighborhood_purity_ci_lower,neighborhood_purity_ci_upper,silhouette,silhouette_ci_lower,silhouette_ci_upper,trustworthiness,trustworthiness_ci_lower,trustworthiness_ci_upper,id_raw,id_raw_ci_lower,id_raw_ci_upper,id_diff,id_diff_ci_lower,id_diff_ci_upper,progression,model
cls_0.875,4000,0,0.7376666110316699,,,0.010740042,,,0.6731434063486667,,,,,,0.9715700301204819,,,,,,,,,CRC-Conventional,gigapath
cls_1.0,4000,0,0.7340341446291541,,,0.017805278,,,0.6748227242319809,,,,,,0.9704692269076305,,,,,,,,,CRC-Conventional,gigapath
final_embedding,4000,50,0.7363929153435631,0.7228098436348341,0.7495662892768685,0.029380858,0.017411015927791595,0.04842474609613419,0.6771284252874107,0.6770559248367034,0.6866015177297741,,,,0.9739612951807229,0.971027624246988,0.977673702309237,,,,,,,CRC-Conventional,gigapath
patch_mean_0.125,4000,0,0.248633776950847,,,0.043097436,,,0.3988847420558085,,,,,,0.9871278614457831,,,,,,,,,CRC-Conventional,musk
patch_mean_0.375,4000,0,0.38515809782920857,,,0.04537815,,,0.5138789407211587,,,,,,0.9772194779116465,,,,,,,,,CRC-Conventional,musk
patch_mean_0.625,4000,0,0.5413329708660558,,,0.031870604,,,0.5529777925883469,,,,,,0.9618417670682731,,,,,,,,,CRC-Conventional,musk
patch_mean_0.875,4000,0,0.009152145856397696,,,0.01749307,,,0.4821643960773403,,,,,,0.9665733935742972,,,,,,,,,CRC-Conventional,musk
patch_mean_1.0,4000,0,0.07438890601137305,,,0.026224911,,,0.5117433700573055,,,,,,0.9744799698795181,,,,,,,,,CRC-Conventional,musk
cls_0.125,4000,0,0.31098818393303923,,,0.013743937,,,0.4038813308852454,,,,,,0.9897054718875502,,,,,,,,,CRC-Conventional,musk
cls_0.375,4000,0,0.3815749028063773,,,0.06586021,,,0.4220655083308778,,,,,,0.9677954317269076,,,,,,,,,CRC-Conventional,musk
cls_0.625,4000,0,0.10351192448076096,,,0.030623078,,,0.3864837278610447,,,,,,0.9789093875502008,,,,,,,,,CRC-Conventional,musk
cls_0.875,4000,0,0.6720551042543906,,,0.03741753,,,0.6047111397059818,,,,,,0.9701942771084338,,,,,,,,,CRC-Conventional,musk
cls_1.0,4000,0,0.6785487551300978,,,0.03890282,,,0.6128085969596423,,,,,,0.9724410140562249,,,,,,,,,CRC-Conventional,musk
final_embedding,4000,50,0.6759734509963733,0.459784402507459,0.7054799388924665,0.047778904,0.024089114367961885,0.06008936017751693,0.6094633235673081,0.6071934150387824,0.6214466527292082,,,,0.9687223393574297,0.9700753062248997,0.9759679731425702,,,,,,,CRC-Conventional,musk
patch_mean_0.125,4000,0,0.24917414674168525,,,0.022290468,,,0.3986025339744583,,,,,,0.9895524598393575,,,,,,,,,CRC-Conventional,dinov2
patch_mean_0.375,4000,0,0.2969227689990764,,,0.06948489,,,0.44822858215663,,,,,,0.9800487449799197,,,,,,,,,CRC-Conventional,dinov2
patch_mean_0.625,4000,0,0.4156301241514008,,,0.044753432,,,0.5329679941706851,,,,,,0.9553149096385543,,,,,,,,,CRC-Conventional,dinov2
patch_mean_0.875,4000,0,0.5309844388849612,,,0.034525096,,,0.5430887222677876,,,,,,0.9593978915662651,,,,,,,,,CRC-Conventional,dinov2
patch_mean_1.0,4000,0,0.5211855466880477,,,0.02586639,,,0.5277270798948073,,,,,,0.9623927710843374,,,,,,,,,CRC-Conventional,dinov2
cls_0.125,4000,0,0.3181046269366464,,,0.021799743,,,0.41542474554960246,,,,,,0.991647640562249,,,,,,,,,CRC-Conventional,dinov2
cls_0.375,4000,0,0.29080236116200586,,,0.0505386,,,0.47236929526742144,,,,,,0.9824554718875502,,,,,,,,,CRC-Conventional,dinov2
cls_0.625,4000,0,0.5685102246799449,,,0.068872154,,,0.5420508077141687,,,,,,0.9654697289156626,,,,,,,,,CRC-Conventional,dinov2
cls_0.875,4000,0,0.6181388182533579,,,0.07487744,,,0.5424969013187171,,,,,,0.9604895080321285,,,,,,,,,CRC-Conventional,dinov2
cls_1.0,4000,0,0.5125452055634745,,,0.05692357,,,0.5335385999684601,,,,,,0.9600597389558233,,,,,,,,,CRC-Conventional,dinov2
register_mean_0.125,4000,0,0.21105916576388378,,,0.028576016,,,0.35276333967736684,,,,,,0.9909290662650603,,,,,,,,,CRC-Conventional,dinov2
register_mean_0.375,4000,0,0.27676637621075567,,,0.062139273,,,0.4142634113402172,,,,,,0.9833211847389558,,,,,,,,,CRC-Conventional,dinov2
register_mean_0.625,4000,0,0.5187054053304048,,,0.0707795,,,0.5381758668638816,,,,,,0.9626142570281124,,,,,,,,,CRC-Conventional,dinov2
register_mean_0.875,4000,0,0.5796767087584274,,,0.02813232,,,0.5343068898105734,,,,,,0.9534473895582329,,,,,,,,,CRC-Conventional,dinov2
register_mean_1.0,4000,0,0.5361854275864475,,,0.017912269,,,0.5184283280730078,,,,,,0.9593997489959839,,,,,,,,,CRC-Conventional,dinov2
final_embedding,4000,50,0.5165814687709507,0.2553558296250686,0.5870547083613342,0.05600995,0.04333055913448334,0.06322298049926757,0.5346228168304249,0.5304619629991519,0.546289374793553,,,,0.9636137048192771,0.9632967633032129,0.9696821197289157,,,,,,,CRC-Conventional,dinov2
patch_mean_0.125,3000,0,0.4655998660750413,,,0.048924625,,,0.6236952404181504,,,,,,0.9874356425702812,,,,,,,,,CRC-Serrated,virchow2
patch_mean_0.375,3000,0,0.6174407389367612,,,0.066297114,,,0.7185248415161636,,,,,,0.9746303714859438,,,,,,,,,CRC-Serrated,virchow2
patch_mean_0.625,3000,0,0.7442948289354016,,,0.0767079,,,0.8671339300602465,,,,,,0.9707919678714859,,,,,,,,,CRC-Serrated,virchow2
