slide_id,patch_id,class_label,pseudotime,pseudotime_norm,total_cells,mean_confidence,cancer_cells,lymphocytes,fibroblasts,plasmocytes,eosinophils,neutrophils,macrophages,smooth_muscle,endothelial,red_blood_cells,epithelial_normal,mitotic_figures,apoptotic_bodies,cancer_cells_prop,lymphocytes_prop,fibroblasts_prop,plasmocytes_prop,eosinophils_prop,neutrophils_prop,macrophages_prop,smooth_muscle_prop,endothelial_prop,red_blood_cells_prop,epithelial_normal_prop,mitotic_figures_prop,apoptotic_bodies_prop
0056,0636082,Adenoma low grade,0.034917064011096954,0.034917064011096954,46,0.8826904747491582,23,3,7,1,0,0,1,0,0,0,11,0,0,0.5,0.06521739130434782,0.15217391304347827,0.021739130434782608,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.2391304347826087,0.0,0.0
0056,0658199,Adenoma low grade,0.022076550871133804,0.022076550871133804,26,0.9775502720194774,21,1,4,0,0,0,0,0,0,0,0,0,0,0.8076923076923077,0.038461538461538464,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0056,0708750,Adenoma low grade,0.025875765830278397,0.025875765830278397,18,0.9429280118809987,6,4,7,0,0,1,0,0,0,0,0,0,0,0.3333333333333333,0.2222222222222222,0.3888888888888889,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0056,0739589,Adenoma low grade,0.03966810554265976,0.03966810554265976,9,0.9194443762587685,5,0,2,0,0,0,0,0,2,0,0,0,0,0.5555555555555556,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0
0056,0788064,Adenoma low grade,0.010528338141739368,0.010528338141739368,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0056,0884471,Adenoma low grade,0.03633629530668259,0.03633629530668259,3,0.8250825015015107,2,0,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
0056,1029061,Adenoma low grade,0.0346641018986702,0.0346641018986702,10,0.9775729530936831,3,0,6,0,0,0,0,0,1,0,0,0,0,0.3,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
0079,0623278,Adenoma low grade,0.08100627362728119,0.08100627362728119,40,0.990099761290993,40,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0079,0971891,Adenoma low grade,0.06431076675653458,0.06431076675653458,43,0.8985107788485457,43,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0088,0369635,Adenoma low grade,0.040996190160512924,0.040996190160512924,24,0.9544823836147525,1,0,5,0,0,0,0,0,0,0,18,0,0,0.041666666666666664,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0
