progression,model,type,perm_id,order_str,tau
SCC,dinov2,permuted,6,Actinic keratosis -> Epidermis -> Carcinoma in situ -> Squamous cell carcinoma,0.3798694855958492
SCC,dinov2,permuted,7,Actinic keratosis -> Epidermis -> Squamous cell carcinoma -> Carcinoma in situ,0.40804250442736334
SCC,dinov2,permuted,8,Actinic keratosis -> Carcinoma in situ -> Epidermis -> Squamous cell carcinoma,0.14474826014396056
SCC,dinov2,permuted,9,Actinic keratosis -> Carcinoma in situ -> Squamous cell carcinoma -> Epidermis,-0.10485818492645126
SCC,dinov2,permuted,10,Actinic keratosis -> Squamous cell carcinoma -> Epidermis -> Carcinoma in situ,0.15843605935695157
SCC,dinov2,permuted,11,Actinic keratosis -> Squamous cell carcinoma -> Carcinoma in situ -> Epidermis,-0.07668516609493707
SCC,dinov2,permuted,12,Carcinoma in situ -> Epidermis -> Actinic keratosis -> Squamous cell carcinoma,0.04662166615718653
SCC,dinov2,permuted,13,Carcinoma in situ -> Epidermis -> Squamous cell carcinoma -> Actinic keratosis,-0.15843605935695157
SCC,dinov2,permuted,14,Carcinoma in situ -> Actinic keratosis -> Epidermis -> Squamous cell carcinoma,-0.04973974739532833
SCC,dinov2,permuted,15,Carcinoma in situ -> Actinic keratosis -> Squamous cell carcinoma -> Epidermis,-0.2993461924657402
SCC,dinov2,permuted,16,Carcinoma in situ -> Squamous cell carcinoma -> Epidermis -> Actinic keratosis,-0.40804250442736334
SCC,dinov2,permuted,17,Carcinoma in situ -> Squamous cell carcinoma -> Actinic keratosis -> Epidermis,-0.5044039179798783
SCC,dinov2,permuted,18,Squamous cell carcinoma -> Epidermis -> Actinic keratosis -> Carcinoma in situ,0.04973974739532833
SCC,dinov2,permuted,19,Squamous cell carcinoma -> Epidermis -> Carcinoma in situ -> Actinic keratosis,-0.14474826014396056
SCC,dinov2,permuted,20,Squamous cell carcinoma -> Actinic keratosis -> Epidermis -> Carcinoma in situ,-0.04662166615718653
SCC,dinov2,permuted,21,Squamous cell carcinoma -> Actinic keratosis -> Carcinoma in situ -> Epidermis,-0.2817428916090752
SCC,dinov2,permuted,22,Squamous cell carcinoma -> Carcinoma in situ -> Epidermis -> Actinic keratosis,-0.3798694855958492
SCC,dinov2,permuted,23,Squamous cell carcinoma -> Carcinoma in situ -> Actinic keratosis -> Epidermis,-0.47623089914836403
CRC-Conventional,virchow2,canonical,0,Adenoma low grade -> Adenoma high grade -> Adenocarcinoma low grade -> Adenocarcinoma high grade,0.7328357043310497
CRC-Conventional,virchow2,permuted,1,Adenoma low grade -> Adenoma high grade -> Adenocarcinoma high grade -> Adenocarcinoma low grade,0.4847773288531301
CRC-Conventional,virchow2,permuted,2,Adenoma low grade -> Adenocarcinoma low grade -> Adenoma high grade -> Adenocarcinoma high grade,0.6202215810359465
CRC-Conventional,virchow2,permuted,3,Adenoma low grade -> Adenocarcinoma low grade -> Adenocarcinoma high grade -> Adenoma high grade,0.3550980624261671
CRC-Conventional,virchow2,permuted,4,Adenoma low grade -> Adenocarcinoma high grade -> Adenoma high grade -> Adenocarcinoma low grade,0.21965381024335076
CRC-Conventional,virchow2,permuted,5,Adenoma low grade -> Adenocarcinoma high grade -> Adenocarcinoma low grade -> Adenoma high grade,0.10703968694824752
CRC-Conventional,virchow2,permuted,6,Adenoma high grade -> Adenoma low grade -> Adenocarcinoma low grade -> Adenocarcinoma high grade,0.46383479395939586
CRC-Conventional,virchow2,permuted,7,Adenoma high grade -> Adenoma low grade -> Adenocarcinoma high grade -> Adenocarcinoma low grade,0.2157764184814763
CRC-Conventional,virchow2,permuted,8,Adenoma high grade -> Adenocarcinoma low grade -> Adenoma low grade -> Adenocarcinoma high grade,0.1813256627571699
CRC-Conventional,virchow2,permuted,9,Adenoma high grade -> Adenocarcinoma low grade -> Adenocarcinoma high grade -> Adenoma low grade,-0.10703968694824752
CRC-Conventional,virchow2,permuted,10,Adenoma high grade -> Adenocarcinoma high grade -> Adenoma low grade -> Adenocarcinoma low grade,-0.07258893122394115
CRC-Conventional,virchow2,permuted,11,Adenoma high grade -> Adenocarcinoma high grade -> Adenocarcinoma low grade -> Adenoma low grade,-0.3550980624261671
